Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.191,0.003,1.46057,64.1292,83.3071,0.0005
0,0.191,0.003,1.48473,63.7412,82.6885,0.0005
1,0.193,0.004,0.33559,90.2905,98.8466,0.0005
2,0.188,0.003,0.16672,95.2396,99.7274,0.0005
3,0.187,0.003,0.07409,98.2594,99.8951,5e-05
4,0.188,0.003,0.05592,98.899,99.9685,5e-05
5,0.188,0.003,0.05052,99.0563,99.9371,5e-05
6,0.188,0.003,0.04694,99.2136,99.9581,5e-05
7,0.188,0.004,0.04931,99.0039,99.9581,5e-05
8,0.188,0.004,0.04338,99.2765,99.979,5e-05
9,0.186,0.004,0.04033,99.3499,99.9685,5e-05
10,0.188,0.004,0.04025,99.3604,99.9895,5e-06
11,0.187,0.003,0.03977,99.2765,99.9581,5e-06
12,0.186,0.004,0.03814,99.4338,99.9581,5.000000000000001e-07
13,0.188,0.004,0.03953,99.3289,99.9685,5.000000000000001e-07
14,0.186,0.003,0.03601,99.4652,99.979,5.000000000000001e-08
15,0.187,0.004,0.0389,99.3918,99.9895,5.000000000000001e-08
16,0.187,0.004,0.03725,99.3184,99.9685,5.000000000000001e-08
17,0.187,0.003,0.03503,99.4652,99.9581,5.000000000000002e-09
18,0.188,0.004,0.03668,99.3604,99.979,5.000000000000002e-09
19,0.187,0.003,0.03796,99.3289,99.9581,5.000000000000002e-09
20,0.187,0.003,0.03897,99.2975,99.979,5.000000000000002e-09
21,0.187,0.004,0.03836,99.3394,99.9895,5.000000000000002e-09
22,0.188,0.004,0.0365,99.4967,99.9685,5.000000000000002e-09
23,0.187,0.004,0.03664,99.4443,99.9581,5.000000000000002e-09
24,0.187,0.004,0.03534,99.4128,99.979,5.000000000000002e-09
25,0.187,0.004,0.03619,99.4967,100.0,5.000000000000002e-09
26,0.186,0.003,0.03872,99.3289,99.9581,5.000000000000002e-09
27,0.187,0.004,0.03556,99.4548,99.9581,5.000000000000002e-09
28,0.189,0.004,0.04044,99.2555,99.9685,5.000000000000002e-09
29,0.187,0.003,0.03531,99.4443,99.9476,5.000000000000002e-09
30,0.188,0.004,0.03665,99.3814,99.9895,5.000000000000002e-09
31,0.187,0.004,0.0386,99.3814,99.9685,5.000000000000002e-09
32,0.188,0.004,0.03845,99.3394,99.9685,5.000000000000002e-09
33,0.187,0.004,0.03579,99.3918,99.9685,5.000000000000002e-09
